date,aqi,hotspot_count,hotspot_count_high,total_frp,mean_frp,max_frp,product,frp_lag1,count_lag1,frp_lag2,count_lag2,frp_lag3,count_lag3,frp_roll3,frp_roll7,aqi_roll3,aqi_roll7,log_frp,log_count,frp_cumsum,aqi_delta,frp_delta,frp_norm,frp_z,aqi_z,fire_cat
2025-10-21,161.95833333333334,258,0,1283.43,4.97,36.31,VIIRS_SNPP_SP,1807.51,438.0,1860.39,337.0,988.19,232.0,1650.4433333333336,1246.152857142857,171.5,166.8511904761905,7.158070319152175,5.556828061699537,16513.88,-14.4375,-524.0799999999999,0.41624396761973953,0.8822148126724434,-0.03970870002882875,Moderate
2025-10-22,179.97916666666666,188,0,1179.3,6.27,21.79,VIIRS_SNPP_SP,1283.43,258.0,1807.51,438.0,1860.39,337.0,1423.4133333333332,1256.5514285714287,172.77777777777774,168.87202380952382,7.073523922435023,5.241747015059643,17693.18,18.020833333333314,-104.13000000000011,0.3824723678065487,0.7517231201613348,0.42189728301174867,Moderate
2025-10-23,164.4375,209,0,1065.0,5.1,30.2,VIIRS_SNPP_SP,1179.3,188.0,1283.43,258.0,1807.51,438.0,1175.91,1279.5828571428572,168.79166666666666,169.41071428571428,6.97166860472579,5.3471075307174685,18758.18,-15.541666666666657,-114.29999999999995,0.3454024181412485,0.6084867766098156,0.023795475672707157,Moderate
2025-10-24,160.0,268,0,1388.12,5.18,52.74,VIIRS_SNPP_SP,1065.0,209.0,1179.3,188.0,1283.43,258.0,1210.8066666666666,1367.42,168.13888888888889,169.30952380952382,7.236425732111229,5.594711379601839,20146.3,-4.4375,323.1199999999999,0.45019718748378384,1.0134082755456588,-0.08987166234768948,Moderate
2025-10-25,172.27083333333334,398,0,1862.04,4.68,75.21,VIIRS_SNPP_SP,1388.12,268.0,1065.0,209.0,1179.3,188.0,1438.3866666666665,1492.2557142857142,165.56944444444446,170.16964285714286,7.529964841117204,5.988961416889864,22008.34,12.270833333333343,473.9200000000001,0.6038996419490426,1.6073065077060786,0.22444732494814934,Moderate
2025-10-26,177.75,487,0,2364.28,4.85,42.67,VIIRS_SNPP_SP,1862.04,398.0,1388.12,268.0,1065.0,209.0,1871.4800000000002,1564.24,170.00694444444446,170.39880952380955,7.76865168715278,6.1903154058531475,24372.62,5.479166666666657,502.24000000000024,0.7667868818431841,2.2366942696073475,0.36479688973389707,High
2025-10-27,169.64583333333334,155,0,818.6,5.28,36.63,VIIRS_SNPP_SP,2364.28,487.0,1862.04,398.0,1388.12,268.0,1681.64,1422.967142857143,173.22222222222226,169.43452380952382,6.708816416364745,5.049856007249537,25191.219999999998,-8.104166666666657,-1545.6800000000003,0.2654895957656582,0.29970781728265616,0.15720760949946402,Moderate
2025-10-28,160.25,130,0,680.19,5.23,15.62,VIIRS_SNPP_SP,818.6,155.0,2364.28,487.0,1862.04,398.0,1287.69,1336.7900000000002,169.21527777777777,169.1904761904762,6.5238412687042695,4.875197323201151,25871.409999999996,-9.395833333333343,-138.40999999999997,0.2206002542680712,0.12625775331970104,-0.08346787992400516,Moderate
2025-10-29,166.0625,266,0,1930.58,7.26,39.94,VIIRS_SNPP_SP,680.19,130.0,818.6,155.0,2364.28,487.0,1143.1233333333334,1444.1157142857141,165.31944444444446,167.20238095238096,7.566093599835201,5.58724865840025,27801.989999999998,5.8125,1250.3899999999999,0.6261286388874474,1.693198187382554,0.06542006142665523,Moderate
2025-10-30,170.39583333333334,397,0,2293.47,5.78,57.45,VIIRS_SNPP_SP,1930.58,266.0,680.19,130.0,818.6,155.0,1634.7466666666667,1619.6114285714284,165.56944444444446,168.05357142857142,7.73825715900546,5.986452005284438,30095.46,4.333333333333343,362.8899999999999,0.7438216750557832,2.147957913641616,0.17641895677051697,High
2025-10-31,174.20833333333334,664,0,3083.36,4.64,44.04,VIIRS_SNPP_SP,2293.47,397.0,1930.58,266.0,680.19,130.0,2435.8033333333333,1861.7885714285715,170.22222222222223,170.08333333333331,8.034099459388136,6.499787040655854,33178.82,3.8125,789.8900000000003,1.0,3.137817541007404,0.2740766387317028,High
2025-11-01,169.79166666666666,417,0,2397.44,5.75,52.67,VIIRS_SNPP_SP,3083.36,664.0,2293.47,397.0,1930.58,266.0,2591.4233333333336,1938.2742857142857,171.4652777777778,169.72916666666669,7.782573804994451,6.035481432524756,35576.26,-4.416666666666686,-685.9200000000001,0.7775413834258731,2.2782491003349796,0.1609431492466127,High
